State,Year,Quarter,District_name,Insurance_count,Insurance_amount
Andhra Pradesh,2023,2,East Godavari District,3690.0,5519480.0
Andhra Pradesh,2023,2,Srikakulam District,1083.0,1556225.0
Andhra Pradesh,2023,2,Spsr Nellore District,2468.0,3679371.0
Andhra Pradesh,2023,2,Vizianagaram District,1227.0,1530183.0
Andhra Pradesh,2023,2,Visakhapatnam District,7000.0,8910217.0
Andhra Pradesh,2023,2,Prakasam District,1311.0,1880405.0
Andhra Pradesh,2023,2,Anantapur District,1688.0,3027497.0
Andhra Pradesh,2023,2,Ysr District,1652.0,2426306.0
Andhra Pradesh,2023,2,West Godavari District,2140.0,3383512.0
Andhra Pradesh,2023,2,Kurnool District,1473.0,2483871.0
Andhra Pradesh,2023,2,Chittoor District,3756.0,5988173.0
Andhra Pradesh,2023,2,Guntur District,3725.0,5015442.0
Andhra Pradesh,2023,2,Krishna District,5163.0,6666796.0
Andhra Pradesh,2023,3,East Godavari District,4157.0,5720660.0
Andhra Pradesh,2023,3,Srikakulam District,1308.0,1724487.0
Andhra Pradesh,2023,3,Spsr Nellore District,3082.0,3962298.0
Andhra Pradesh,2023,3,Vizianagaram District,1274.0,1526422.0
Andhra Pradesh,2023,3,Visakhapatnam District,8972.0,11107138.0
Andhra Pradesh,2023,3,Prakasam District,1695.0,2170370.0
Andhra Pradesh,2023,3,Anantapur District,1947.0,3392196.0
Andhra Pradesh,2023,3,Ysr District,1900.0,2732465.0
Andhra Pradesh,2023,3,West Godavari District,2308.0,3162591.0
Andhra Pradesh,2023,3,Kurnool District,1723.0,2310997.0
Andhra Pradesh,2023,3,Chittoor District,3993.0,6350318.0
Andhra Pradesh,2023,3,Guntur District,4604.0,5810698.0
Andhra Pradesh,2023,3,Krishna District,6187.0,7831756.0
Andhra Pradesh,2023,4,East Godavari District,4294.0,6404501.0
Andhra Pradesh,2023,4,Srikakulam District,1327.0,1851290.0
Andhra Pradesh,2023,4,Spsr Nellore District,2739.0,3968074.0
Andhra Pradesh,2023,4,Vizianagaram District,1350.0,1745449.0
Andhra Pradesh,2023,4,Visakhapatnam District,8787.0,12027284.0
Andhra Pradesh,2023,4,Prakasam District,1561.0,2357325.0
Andhra Pradesh,2023,4,Anantapur District,2143.0,3651525.0
Andhra Pradesh,2023,4,Ysr District,1923.0,2738253.0
Andhra Pradesh,2023,4,West Godavari District,2198.0,3630998.0
Andhra Pradesh,2023,4,Kurnool District,1829.0,3161720.0
Andhra Pradesh,2023,4,Chittoor District,4025.0,7322967.0
Andhra Pradesh,2023,4,Guntur District,4354.0,6154821.0
Andhra Pradesh,2023,4,Krishna District,5268.0,7328216.0
Andhra Pradesh,2024,1,East Godavari District,5344.0,6899327.0
Andhra Pradesh,2024,1,Srikakulam District,1651.0,1876987.0
