State,Pincode,Year,Quarter,Registered_users
Andhra Pradesh,516360,2022,2,574
Andhra Pradesh,524002,2022,2,574
Andhra Pradesh,530026,2022,2,574
Andhra Pradesh,520010,2022,2,574
Andhra Pradesh,517501,2022,3,574
Andhra Pradesh,517507,2022,3,574
Andhra Pradesh,515001,2022,3,574
Andhra Pradesh,530016,2022,3,574
Andhra Pradesh,518002,2022,3,574
Andhra Pradesh,516001,2022,3,574
Andhra Pradesh,516360,2022,3,574
Andhra Pradesh,524002,2022,3,574
Andhra Pradesh,530026,2022,3,574
Andhra Pradesh,520010,2022,3,574
Andhra Pradesh,517501,2022,4,574
Andhra Pradesh,517507,2022,4,574
Andhra Pradesh,515001,2022,4,574
Andhra Pradesh,530016,2022,4,574
Andhra Pradesh,518002,2022,4,574
Andhra Pradesh,516001,2022,4,574
Andhra Pradesh,516360,2022,4,574
Andhra Pradesh,524002,2022,4,574
Andhra Pradesh,530026,2022,4,574
Andhra Pradesh,520010,2022,4,574
Andhra Pradesh,517501,2023,1,574
Andhra Pradesh,517507,2023,1,574
Andhra Pradesh,515001,2023,1,574
Andhra Pradesh,530016,2023,1,574
Andhra Pradesh,518002,2023,1,574
Andhra Pradesh,516001,2023,1,574
Andhra Pradesh,516360,2023,1,574
Andhra Pradesh,524002,2023,1,574
Andhra Pradesh,530026,2023,1,574
Andhra Pradesh,520010,2023,1,574
Andhra Pradesh,517501,2023,2,574
Andhra Pradesh,517507,2023,2,574
Andhra Pradesh,515001,2023,2,574
Andhra Pradesh,530016,2023,2,574
Andhra Pradesh,518002,2023,2,574
Andhra Pradesh,516001,2023,2,574
Andhra Pradesh,516360,2023,2,574
Andhra Pradesh,524002,2023,2,574
Andhra Pradesh,530026,2023,2,574
Andhra Pradesh,520001,2023,2,574
Andhra Pradesh,517501,2023,3,574
Andhra Pradesh,517507,2023,3,574
Andhra Pradesh,515001,2023,3,574
Andhra Pradesh,530016,2023,3,574
Andhra Pradesh,518002,2023,3,574
Andhra Pradesh,516001,2023,3,574
Andhra Pradesh,516360,2023,3,574
Andhra Pradesh,524002,2023,3,574
Andhra Pradesh,530026,2023,3,574
Andhra Pradesh,520001,2023,3,574
Andhra Pradesh,517501,2023,4,574
Andhra Pradesh,517507,2023,4,574
Andhra Pradesh,515001,2023,4,574
Andhra Pradesh,530016,2023,4,574
Andhra Pradesh,518002,2023,4,574
Andhra Pradesh,516001,2023,4,574
Andhra Pradesh,516360,2023,4,574
Andhra Pradesh,524002,2023,4,574
Andhra Pradesh,530026,2023,4,574
Andhra Pradesh,520001,2023,4,574
Andhra Pradesh,517501,2024,1,574
Andhra Pradesh,517507,2024,1,574
Andhra Pradesh,515001,2024,1,574
Andhra Pradesh,530016,2024,1,574
Andhra Pradesh,518002,2024,1,574
Andhra Pradesh,516001,2024,1,574
Andhra Pradesh,516360,2024,1,574
Andhra Pradesh,524002,2024,1,574
Andhra Pradesh,530026,2024,1,574
Andhra Pradesh,520001,2024,1,574
Andhra Pradesh,517501,2024,2,574
Andhra Pradesh,517507,2024,2,574
Andhra Pradesh,515001,2024,2,574
Andhra Pradesh,530016,2024,2,574
Andhra Pradesh,518002,2024,2,574
Andhra Pradesh,516001,2024,2,574
Andhra Pradesh,516360,2024,2,574
Andhra Pradesh,524002,2024,2,574
Andhra Pradesh,530026,2024,2,574
Andhra Pradesh,520001,2024,2,574
Andhra Pradesh,517501,2024,3,574
Andhra Pradesh,516001,2024,3,574
Andhra Pradesh,518002,2024,3,574
Andhra Pradesh,515001,2024,3,574
Andhra Pradesh,520003,2024,3,574
Andhra Pradesh,524002,2024,3,574
Andhra Pradesh,516360,2024,3,574
Andhra Pradesh,520007,2024,3,574
Andhra Pradesh,530016,2024,3,574
Andhra Pradesh,520010,2024,3,574
Andhra Pradesh,517501,2024,4,574
Andhra Pradesh,516001,2024,4,574
Andhra Pradesh,518002,2024,4,574
Andhra Pradesh,515001,2024,4,574
Andhra Pradesh,520003,2024,4,574
Andhra Pradesh,524002,2024,4,574
Andhra Pradesh,520007,2024,4,574
Andhra Pradesh,530016,2024,4,574
Andhra Pradesh,516360,2024,4,574
Andhra Pradesh,520010,2024,4,574
Arunachal Pradesh,791110,2018,1,574
Arunachal Pradesh,791111,2018,1,574
Arunachal Pradesh,791113,2018,1,574
Arunachal Pradesh,791102,2018,1,574
Arunachal Pradesh,790104,2018,1,574
Arunachal Pradesh,791001,2018,1,574
Arunachal Pradesh,791109,2018,1,574
Arunachal Pradesh,792103,2018,1,574
Arunachal Pradesh,792001,2018,1,574
Arunachal Pradesh,790116,2018,1,574
Arunachal Pradesh,791110,2018,2,574
Arunachal Pradesh,791111,2018,2,574
Arunachal Pradesh,791113,2018,2,574
Arunachal Pradesh,791102,2018,2,574
Arunachal Pradesh,790104,2018,2,574
Arunachal Pradesh,792103,2018,2,574
Arunachal Pradesh,791001,2018,2,574
Arunachal Pradesh,792001,2018,2,574
Arunachal Pradesh,791109,2018,2,574
Arunachal Pradesh,790116,2018,2,574
Arunachal Pradesh,791110,2018,3,574
Arunachal Pradesh,791111,2018,3,574
Arunachal Pradesh,791113,2018,3,574
Arunachal Pradesh,791102,2018,3,574
Arunachal Pradesh,790104,2018,3,574
Arunachal Pradesh,792103,2018,3,574
Arunachal Pradesh,791001,2018,3,574
Arunachal Pradesh,792001,2018,3,574
Arunachal Pradesh,790116,2018,3,574
Arunachal Pradesh,791109,2018,3,574
Arunachal Pradesh,791110,2018,4,574
Arunachal Pradesh,791111,2018,4,574
Arunachal Pradesh,791113,2018,4,574
Arunachal Pradesh,791102,2018,4,574
Arunachal Pradesh,790104,2018,4,574
Arunachal Pradesh,792103,2018,4,574
Arunachal Pradesh,792001,2018,4,574
Arunachal Pradesh,791001,2018,4,574
Arunachal Pradesh,790116,2018,4,574
Arunachal Pradesh,791109,2018,4,574
Arunachal Pradesh,791110,2019,1,574
Arunachal Pradesh,791111,2019,1,574
Arunachal Pradesh,791113,2019,1,574
Arunachal Pradesh,791102,2019,1,574
Arunachal Pradesh,790104,2019,1,574
Arunachal Pradesh,792103,2019,1,574
Arunachal Pradesh,792001,2019,1,574
Arunachal Pradesh,791001,2019,1,574
Arunachal Pradesh,790116,2019,1,574
Arunachal Pradesh,791109,2019,1,574
Arunachal Pradesh,791110,2019,2,574
Arunachal Pradesh,791111,2019,2,574
Arunachal Pradesh,791113,2019,2,574
Arunachal Pradesh,791102,2019,2,574
Arunachal Pradesh,790104,2019,2,574
Arunachal Pradesh,792103,2019,2,574
Arunachal Pradesh,791001,2019,2,574
Arunachal Pradesh,792001,2019,2,574
Arunachal Pradesh,790116,2019,2,574
Arunachal Pradesh,791109,2019,2,574
Arunachal Pradesh,791110,2019,3,574
Arunachal Pradesh,791111,2019,3,574
Arunachal Pradesh,791113,2019,3,574
Arunachal Pradesh,791102,2019,3,574
Arunachal Pradesh,792103,2019,3,574
Arunachal Pradesh,790104,2019,3,574
Arunachal Pradesh,791001,2019,3,574
Arunachal Pradesh,792001,2019,3,574
Arunachal Pradesh,791109,2019,3,574
Arunachal Pradesh,790116,2019,3,574
Arunachal Pradesh,791110,2019,4,574
Arunachal Pradesh,791111,2019,4,574
Arunachal Pradesh,791113,2019,4,574
Arunachal Pradesh,791102,2019,4,574
Arunachal Pradesh,792103,2019,4,574
Arunachal Pradesh,790104,2019,4,574
