State,Year,Quarter,District_name,Transaction_count,Transaction_amount
Andhra Pradesh,2018,4,Kurnool District,2508530,3626544852.4069242
Andhra Pradesh,2018,4,Chittoor District,3166201,4979093890.223491
Andhra Pradesh,2018,4,Guntur District,2546620,4730251217.696959
Andhra Pradesh,2018,4,Krishna District,2839161,5416251838.130407
Andhra Pradesh,2019,1,East Godavari District,5440146,7382264724.59952
Andhra Pradesh,2019,1,Srikakulam District,2526855,3407912878.4152584
Andhra Pradesh,2019,1,Spsr Nellore District,3333584,5161932216.216368
Andhra Pradesh,2019,1,Vizianagaram District,2798241,3364576948.299301
Andhra Pradesh,2019,1,Visakhapatnam District,9690866,13459857440.552685
Andhra Pradesh,2019,1,Prakasam District,2931081,4807527779.215151
Andhra Pradesh,2019,1,Anantapur District,3891336,6044730653.191345
Andhra Pradesh,2019,1,Ysr District,2852197,4915811593.896078
Andhra Pradesh,2019,1,West Godavari District,2829437,4623764455.47309
Andhra Pradesh,2019,1,Kurnool District,4193432,5541564892.509682
Andhra Pradesh,2019,1,Chittoor District,6486813,8223371732.233585
Andhra Pradesh,2019,1,Guntur District,4846553,7765934169.404485
Andhra Pradesh,2019,1,Krishna District,5443981,9061346433.072681
Andhra Pradesh,2019,2,East Godavari District,4699261,9116404622.47651
Andhra Pradesh,2019,2,Srikakulam District,2019203,4066576539.936839
Andhra Pradesh,2019,2,Spsr Nellore District,3141891,6880873007.4820595
Andhra Pradesh,2019,2,Vizianagaram District,2272320,4443041665.039663
Andhra Pradesh,2019,2,Visakhapatnam District,11705738,20797479804.029076
Andhra Pradesh,2019,2,Prakasam District,2670529,6262396448.455349
Andhra Pradesh,2019,2,Anantapur District,3578836,7830782361.377665
Andhra Pradesh,2019,2,Ysr District,2606284,6376856828.130632
Andhra Pradesh,2019,2,West Godavari District,2402074,5676818258.955046
Andhra Pradesh,2019,2,Kurnool District,3895824,7358285187.018034
Andhra Pradesh,2019,2,Chittoor District,5983308,10982727976.224325
Andhra Pradesh,2019,2,Guntur District,5005275,10405246943.481495
Andhra Pradesh,2019,2,Krishna District,6428472,13437029115.620754
Andhra Pradesh,2019,3,East Godavari District,6537303,11387726470.57774
Andhra Pradesh,2019,3,Srikakulam District,2556296,4610131289.524039
Andhra Pradesh,2019,3,Spsr Nellore District,4150195,8256600118.735449
Andhra Pradesh,2019,3,Vizianagaram District,2861581,4922069039.19216
Andhra Pradesh,2019,3,Visakhapatnam District,16694947,26944837120.046288
Andhra Pradesh,2019,3,Prakasam District,3430750,7354502261.150911
Andhra Pradesh,2019,3,Anantapur District,4889720,9554081289.488277
Andhra Pradesh,2019,3,Ysr District,3296586,7447544274.2117815
Andhra Pradesh,2019,3,West Godavari District,3179541,6627629029.01413
Andhra Pradesh,2019,3,Kurnool District,5139134,9025632779.412457
Andhra Pradesh,2019,3,Chittoor District,8201783,13837455758.755266
Andhra Pradesh,2019,3,Guntur District,6942304,13075661264.188034
Andhra Pradesh,2019,3,Krishna District,8408474,16404073560.500784
Andhra Pradesh,2019,4,East Godavari District,9285739,16816774065.301317
Andhra Pradesh,2019,4,Srikakulam District,3712555,6832369301.879345
Andhra Pradesh,2019,4,Spsr Nellore District,5877804,11786014089.194027
Andhra Pradesh,2019,4,Vizianagaram District,3998234,7175851807.068796
Andhra Pradesh,2019,4,Visakhapatnam District,23594874,39133296330.044624
Andhra Pradesh,2019,4,Prakasam District,4865473,10604077824.801035
Andhra Pradesh,2019,4,Anantapur District,6764112,13887248889.064066
Andhra Pradesh,2019,4,Ysr District,4793157,10865073855.730783
Andhra Pradesh,2019,4,West Godavari District,4596479,9710614747.20177
Andhra Pradesh,2019,4,Kurnool District,7001958,13233105728.54823
Andhra Pradesh,2019,4,Chittoor District,11246986,19298476027.875484
Andhra Pradesh,2019,4,Guntur District,9761330,18565626418.035915
Andhra Pradesh,2019,4,Krishna District,11719402,23039786404.04664
Andhra Pradesh,2020,1,East Godavari District,11346242,21854701379.428688
Andhra Pradesh,2020,1,Srikakulam District,4835092,9777575594.177538
Andhra Pradesh,2020,1,Spsr Nellore District,7430247,15387829694.446861
Andhra Pradesh,2020,1,Vizianagaram District,5042066,9879174240.920494
Andhra Pradesh,2020,1,Visakhapatnam District,27115031,48809747614.678894
Andhra Pradesh,2020,1,Prakasam District,6318396,14169104764.526735
Andhra Pradesh,2020,1,Anantapur District,8466129,17864325752.82528
Andhra Pradesh,2020,1,Ysr District,6031255,14059924636.819912
Andhra Pradesh,2020,1,West Godavari District,5919670,12995834340.716236
Andhra Pradesh,2020,1,Kurnool District,8246869,17022710311.813046
Andhra Pradesh,2020,1,Chittoor District,13257740,23441848567.344193
Andhra Pradesh,2020,1,Guntur District,11493331,22992734620.64621
Andhra Pradesh,2020,1,Krishna District,12175289,24481702770.71471
Andhra Pradesh,2020,2,East Godavari District,13130334,26319906327.32029
Andhra Pradesh,2020,2,Srikakulam District,6425515,12153650076.875832
Andhra Pradesh,2020,2,Spsr Nellore District,9454274,20665376460.772232
Andhra Pradesh,2020,2,Vizianagaram District,6690313,12819344389.545382
Andhra Pradesh,2020,2,Visakhapatnam District,25300401,48293889917.41437
Andhra Pradesh,2020,2,Prakasam District,8844580,19846026726.904335
Andhra Pradesh,2020,2,Anantapur District,10473739,22094006659.412506
Andhra Pradesh,2020,2,Ysr District,8033609,19597207268.132023
Andhra Pradesh,2020,2,West Godavari District,7273096,16585866855.159784
Andhra Pradesh,2020,2,Kurnool District,9821381,22419372061.805172
Andhra Pradesh,2020,2,Chittoor District,14848197,27361300300.01902
Andhra Pradesh,2020,2,Guntur District,12308707,27463593607.839108
Andhra Pradesh,2020,2,Krishna District,12313709,26964149095.366295
Andhra Pradesh,2020,3,East Godavari District,17972431,39300043804.75851
Andhra Pradesh,2020,3,Srikakulam District,8286289,18029574581.337425
Andhra Pradesh,2020,3,Spsr Nellore District,16468209,39128324534.03022
Andhra Pradesh,2020,3,Vizianagaram District,8236703,17567816576.501263
Andhra Pradesh,2020,3,Visakhapatnam District,34421299,67628440368.111465
Andhra Pradesh,2020,3,Prakasam District,12266310,31221704852.44969
Andhra Pradesh,2020,3,Anantapur District,14447683,34102037972.65785
Andhra Pradesh,2020,3,Ysr District,11934653,32037007334.12973
Andhra Pradesh,2020,3,West Godavari District,10412351,25408608725.754295
Andhra Pradesh,2020,3,Kurnool District,13243292,32529351107.17173
Andhra Pradesh,2020,3,Chittoor District,20501863,42811566246.16463
Andhra Pradesh,2020,3,Guntur District,17601395,42531195809.75448
Andhra Pradesh,2020,3,Krishna District,19110457,44788458672.084435
Andhra Pradesh,2020,4,East Godavari District,25989490,58732615663.118416
Andhra Pradesh,2020,4,Srikakulam District,11092184,25222520275.27882
Andhra Pradesh,2020,4,Spsr Nellore District,20934374,49115443663.37911
Andhra Pradesh,2020,4,Vizianagaram District,10580824,24094847668.445065
Andhra Pradesh,2020,4,Visakhapatnam District,46551467,91879823025.40399
Andhra Pradesh,2020,4,Prakasam District,16176867,41852443493.515396
Andhra Pradesh,2020,4,Anantapur District,20996384,49732610814.26222
Andhra Pradesh,2020,4,Ysr District,15676878,42572974713.44026
Andhra Pradesh,2020,4,West Godavari District,15674762,40310975762.603455
Andhra Pradesh,2020,4,Kurnool District,18737323,44718203115.22612
Andhra Pradesh,2020,4,Chittoor District,29590411,61505711149.79541
Andhra Pradesh,2020,4,Guntur District,26136538,60641872021.25432
Andhra Pradesh,2020,4,Krishna District,27981050,64461504667.60723
Andhra Pradesh,2021,1,East Godavari District,26190701,60027984987.96951
Andhra Pradesh,2021,1,Srikakulam District,11160473,26486623313.092724
Andhra Pradesh,2021,1,Spsr Nellore District,22541428,52210333201.53073
Andhra Pradesh,2021,1,Vizianagaram District,10514582,24153782497.243248
Andhra Pradesh,2021,1,Visakhapatnam District,48248923,95308386037.84721
Andhra Pradesh,2021,1,Prakasam District,15175395,41396223622.174774
Andhra Pradesh,2021,1,Anantapur District,20102957,48353870395.01808
Andhra Pradesh,2021,1,Ysr District,15374473,42570919448.50447
Andhra Pradesh,2021,1,West Godavari District,16015685,42124030669.36126
Andhra Pradesh,2021,1,Kurnool District,17918524,44941629659.56964
Andhra Pradesh,2021,1,Chittoor District,29342609,60947491846.66089
